beer_name,brand,brewery,style,abv,calories,size,package_type,karnataka_price_min,karnataka_price_max,karnataka_price_observations_json,gtin,barcode,image_url,manufacturer_url,sources,confidence_score,last_verified_note
UB STRONG BOTTLE,UB Export / United Breweries,,,,,,Bottle,135.0,135.0,"[{""value"": ""₹135.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/4597/image_512/%5BM000033%5D%20UB%20STRONG%20BOTTLE?unique=d64a147,https://www.madhuloka.com/shop/m000033-ub-strong-bottle-4597,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
KF STRONG TIN,Kingfisher,,,,,,Tin/Can,80.0,140.0,"[{""value"": ""₹140.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}, {""value"": ""₹80.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3851/image_512/%5BM000014%5D%20KF%20STRONG%20TIN?unique=97050f7,https://www.madhuloka.com/shop/m000014-kf-strong-tin-3851,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,"Seen only on category listing page; detail page not fetched. A second, differently-priced 'KF STRONG TIN' (product id 3850, ₹80.00) also exists — listed separately below."
TUBORG STRONG BOTTLE,Tuborg,,,,,,Bottle,170.0,170.0,"[{""value"": ""₹170.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/4582/image_512/%5BM000071%5D%20TUBORG%20STRONG%20BOTTLE?unique=4375ec0,https://www.madhuloka.com/shop/m000071-tuborg-strong-bottle-4582,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
KF ULTRA MAX TIN,Kingfisher,,,,,,Tin/Can,190.0,190.0,"[{""value"": ""₹190.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3855/image_512/%5BM000024%5D%20KF%20ULTRA%20MAX%20TIN?unique=ede14eb,https://www.madhuloka.com/shop/m000024-kf-ultra-max-tin-3855,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
SIMBA JUNGLE WHEAT,Simba,,Wheat beer (from product name),,,,Unknown,160.0,160.0,"[{""value"": ""₹160.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/4375/image_512/%5BM000634%5D%20SIMBA%20JUNGLE%20WHEAT?unique=bcd599d,https://www.madhuloka.com/shop/m000634-simba-jungle-wheat-4375,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
KF ULTRA PINT,Kingfisher,,,,,,Pint (small bottle),80.0,80.0,"[{""value"": ""₹80.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3856/image_512/%5BM000017%5D%20KF%20ULTRA%20PINT?unique=89e67c9,https://www.madhuloka.com/shop/m000017-kf-ultra-pint-3856,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
CARLSBERG SMOOTH BOTTLE,Carlsberg,,,,,,Bottle,205.0,205.0,"[{""value"": ""₹205.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3399/image_512/%5BM000065%5D%20CARLSBERG%20SMOOTH%20BOTTLE?unique=aa2d9ef,https://www.madhuloka.com/shop/m000065-carlsberg-smooth-bottle-3399,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
HOEGAARDEN TIN,Hoegaarden,,,,,,Tin/Can,170.0,170.0,"[{""value"": ""₹170.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3730/image_512/%5BM001517%5D%20HOEGAARDEN%20TIN?unique=a6894a3,https://www.madhuloka.com/shop/m001517-hoegaarden-tin-3730,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
CARLSBERG STRONG TIN,Carlsberg,,,,,,Tin/Can,185.0,185.0,"[{""value"": ""₹185.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000064-carlsberg-strong-tin-3403,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
GUINNESS TIN,Guinness,Diageo,Stout (well-known style; not confirmed on this site's page),,,440 ml,Tin/Can,535.0,535.0,"[{""value"": ""₹535.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3678/image_1920?unique=f0db704,https://www.madhuloka.com/shop/m000577-guinness-tin-3678,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,"Fetched product detail page directly; Brand/Size confirmed on-page. Style label is general knowledge inference, not shown on the site."
HEINEKEN BEER PINT,Heineken,,,,,,Pint (small bottle),120.0,120.0,"[{""value"": ""₹120.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3697/image_512/%5BM000027%5D%20HEINEKEN%20BEER%20PINT?unique=e92484d,https://www.madhuloka.com/shop/m000027-heineken-beer-pint-3697,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
HEINEKEN TIN,Heineken,,,,,,Tin/Can,215.0,215.0,"[{""value"": ""₹215.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000028-heineken-tin-3701,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
HOEGAARDEN NECTARINE PINT,Hoegaarden,,,,,,Pint (small bottle),105.0,105.0,"[{""value"": ""₹105.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3722/image_512/%5BM000057%5D%20HOEGAARDEN%20NECTARINE%20PINT?unique=219ae28,https://www.madhuloka.com/shop/m000057-hoegaarden-nectarine-pint-3722,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
HOEGAARDEN NECTARINE TIN,Hoegaarden,,,,,,Tin/Can,140.0,140.0,"[{""value"": ""₹140.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3723/image_512/%5BM000062%5D%20HOEGAARDEN%20NECTARINE%20TIN?unique=95560cb,https://www.madhuloka.com/shop/m000062-hoegaarden-nectarine-tin-3723,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
HOEGAARDEN ROSEE PINT,Hoegaarden,,,,,,Pint (small bottle),105.0,105.0,"[{""value"": ""₹105.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3727/image_512/%5BM000060%5D%20HOEGAARDEN%20ROSEE%20PINT?unique=e1c8ce0,https://www.madhuloka.com/shop/m000060-hoegaarden-rosee-pint-3727,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
HEINEKEN BEER,Heineken,United Breweries,,,,650 ml,Unknown (no bottle/tin/pint suffix in name),200.0,200.0,"[{""value"": ""₹200.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3696/image_1920?unique=9d89f52,https://www.madhuloka.com/shop/m000026-heineken-beer-3696,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed.
KF ULTRA WITBIER PINT,Kingfisher,,Witbier (from product name),,,,Pint (small bottle),120.0,120.0,"[{""value"": ""₹120.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3859/image_512/%5BM001477%5D%20KF%20ULTRA%20WITBIER%20PINT?unique=4dd1022,https://www.madhuloka.com/shop/m001477-kf-ultra-witbier-pint-3859,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
KF STRONG PINT,Kingfisher,,,,,,Pint (small bottle),100.0,100.0,"[{""value"": ""₹100.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000013-kf-strong-pint-3849,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
KF ULTRA MAX PINT,Kingfisher,,,,,,Pint (small bottle),140.0,140.0,"[{""value"": ""₹140.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3854/image_512/%5BM000022%5D%20KF%20ULTRA%20MAX%20PINT?unique=8fca932,https://www.madhuloka.com/shop/m000022-kf-ultra-max-pint-3854,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
KF ULTRA TIN,Kingfisher,,,,,,Tin/Can,115.0,115.0,"[{""value"": ""₹115.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3857/image_512/%5BM000018%5D%20KF%20ULTRA%20TIN?unique=648e12a,https://www.madhuloka.com/shop/m000018-kf-ultra-tin-3857,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
KF ULTRA WITBIER,Kingfisher,,Witbier (from product name),,,,Unknown,200.0,200.0,"[{""value"": ""₹200.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3858/image_512/%5BM001475%5D%20KF%20ULTRA%20WITBIER?unique=fee88cd,https://www.madhuloka.com/shop/m001475-kf-ultra-witbier-3858,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
KNOCK OUT PINT,Knock Out,,,,,,Pint (small bottle),100.0,100.0,"[{""value"": ""₹100.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000046-knock-out-pint-3875,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
BIRA 91 RISE RICE,Bira 91,"Bira 91 (site's own Brand field value, likely B9 Beverages entity)",,,,500 ml,Unknown,185.0,185.0,"[{""value"": ""₹185.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3304/image_1920?unique=0c4d6f0,https://www.madhuloka.com/shop/m001421-bira-91-rise-rice-3304,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size/Country (India) confirmed.
BOOM STRONG BOTTLE,Boom,B9 Beverages,,,,650 ml,Bottle,195.0,195.0,"[{""value"": ""₹195.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3357/image_1920?unique=49ae3e4,https://www.madhuloka.com/shop/m001350-boom-strong-bottle-3357,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size/Country (India) confirmed.
BOOM STRONG TIN,Boom,,,,,,Tin/Can,160.0,160.0,"[{""value"": ""₹160.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3358/image_512/%5BM001351%5D%20BOOM%20STRONG%20TIN?unique=e744502,https://www.madhuloka.com/shop/m001351-boom-strong-tin-3358,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
BUDWEISER MAGNUM PINT,Budweiser,,,,,,Pint (small bottle),145.0,145.0,"[{""value"": ""₹145.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3374/image_512/%5BM000040%5D%20BUDWEISER%20MAGNUM%20PINT?unique=c2536c7,https://www.madhuloka.com/shop/m000040-budweiser-magnum-pint-3374,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
GEIST KAMACITRA,Geist,,,,,,Unknown,290.0,290.0,"[{""value"": ""₹290.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3598/image_512/%5BM000810%5D%20GEIST%20KAMACITRA?unique=0c4d6f0,https://www.madhuloka.com/shop/m000810-geist-kamacitra-3598,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
GEIST UNCLE DUNKEL,Geist,,Dunkel (from product name),,,,Unknown,260.0,260.0,"[{""value"": ""₹260.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3599/image_512/%5BM000747%5D%20GEIST%20UNCLE%20DUNKEL?unique=62f2572,https://www.madhuloka.com/shop/m000747-geist-uncle-dunkel-3599,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
GEIST WITTY WIT,Geist,,Wit/Witbier (from product name),,,,Unknown,260.0,260.0,"[{""value"": ""₹260.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3600/image_512/%5BM000867%5D%20GEIST%20WITTY%20WIT?unique=b93c756,https://www.madhuloka.com/shop/m000867-geist-witty-wit-3600,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
BIRA 91 RISE RICE,Bira 91,,,,,,Unknown,235.0,235.0,"[{""value"": ""₹235.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m001415-bira-91-rise-rice-3303,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,"Distinct product id (3303) from the other 'Bira 91 Rise Rice' listing (id 3304, ₹185, confirmed 500ml) — likely a different pack size; no image shown on listing; detail page not fetched for this id."
BIRA 91 LIGHT TIN,Bira 91,,,,,,Tin/Can,200.0,200.0,"[{""value"": ""₹200.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000079-bira-91-light-tin-3302,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
KF ULTRA BOTTLE,Kingfisher,,,,,,Bottle,150.0,150.0,"[{""value"": ""₹150.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3852/image_512/%5BM000016%5D%20KF%20ULTRA%20BOTTLE?unique=546c4f5,https://www.madhuloka.com/shop/m000016-kf-ultra-bottle-3852,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
PERONI NASTRO AZZURRO PINT,Peroni Nastro Azzurro,,,,,,Pint (small bottle),425.0,425.0,"[{""value"": ""₹425.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m001484-peroni-nastro-azzurro-pint-4200,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
BIRA 91 WHITE TIN,Bira 91,,,,,,Tin/Can,210.0,210.0,"[{""value"": ""₹210.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3306/image_512/%5BM000082%5D%20BIRA%2091%20WHITE%20TIN?unique=f3bd956,https://www.madhuloka.com/shop/m000082-bira-91-white-tin-3306,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
STRAY APPLE,,TOIT,,,,330 ml,Unknown (likely a fruit cider/beer given 'Apple' name),205.0,205.0,"[{""value"": ""₹205.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/4431/image_1920?unique=0c4d6f0,https://www.madhuloka.com/shop/m001060-stray-apple-4431,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand field on-page literally says 'TOIT' (brewery) with no separate consumer brand name given; Size confirmed. Brand left unset because the only brand-like value shown is the brewery itself.
BUDWIESER TIN,Budweiser (site's product name is misspelled 'BUDWIESER'),,,,,,Tin/Can,145.0,145.0,"[{""value"": ""₹145.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000038-budwieser-tin-4358,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched. Name spelling as literally shown on site.
SIMBA ROAR PREMIUM,Simba,,,,,,Unknown,115.0,115.0,"[{""value"": ""₹115.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/4378/image_512/%5BM000981%5D%20SIMBA%20ROAR%20PREMIUM?unique=e6727c9,https://www.madhuloka.com/shop/m000981-simba-roar-premium-4378,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
STELLA ARTOIS PINT,Stella Artois,Ab Inbev,,,,330 ml,Pint (small bottle),280.0,280.0,"[{""value"": ""₹280.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/4420/image_1920?unique=0c4d6f0,https://www.madhuloka.com/shop/m000004-stella-artois-pint-4420,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed.
SIMBA LIGHT PINT,Simba,,,,,,Pint (small bottle),110.0,110.0,"[{""value"": ""₹110.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/4376/image_512/%5BM001452%5D%20SIMBA%20LIGHT%20PINT?unique=a9e70d7,https://www.madhuloka.com/shop/m001452-simba-light-pint-4376,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
HOEGAARDEN PINT,Hoegaarden,,,,,,Pint (small bottle),125.0,125.0,"[{""value"": ""₹125.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3725/image_512/%5BM000003%5D%20HOEGAARDEN%20PINT?unique=29abdae,https://www.madhuloka.com/shop/m000003-hoegaarden-pint-3725,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
CARLSBERG SMOOTH PINT,Carlsberg,,,,,,Pint (small bottle),120.0,120.0,"[{""value"": ""₹120.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3400/image_512/%5BM000066%5D%20CARLSBERG%20SMOOTH%20PINT?unique=402f80c,https://www.madhuloka.com/shop/m000066-carlsberg-smooth-pint-3400,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
STANGEN WEISS BIER TIN,Stangen,,Weissbier (from product name),,,,Tin/Can,350.0,350.0,"[{""value"": ""₹350.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000552-stangen-weiss-bier-tin-4418,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
BIRA 91 BLONDE BOTTLE,Bira 91,B9 Beverages,Blonde (from product name),,,650 ml,Bottle,225.0,225.0,"[{""value"": ""₹225.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""High""}]",,,https://mtlb.odoo.com/web/image/product.template/3295/image_1920?unique=c2a1a41,https://www.madhuloka.com/shop/m000074-bira-91-blonde-bottle-3295,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,High,Fetched product detail page directly; Brand/Size confirmed.
BIRA 91 BLONDE TIN,Bira 91,,Blonde (from product name),,,,Tin/Can,180.0,180.0,"[{""value"": ""₹180.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000076-bira-91-blonde-tin-3297,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
BIRA 91 GOLD WHEAT STRONG BOTTLE,Bira 91,,Wheat (from product name),,,,Bottle,235.0,235.0,"[{""value"": ""₹235.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,https://www.madhuloka.com/web/image/product.template/3298/image_512/%5BM000077%5D%20BIRA%2091%20GOLD%20WHEAT%20STRONG%20BOTTLE?unique=0c4d6f0,https://www.madhuloka.com/shop/m000077-bira-91-gold-wheat-strong-bottle-3298,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; detail page not fetched.
BIRA 91 GOLD WHEAT STRONG TIN,Bira 91,,Wheat (from product name),,,,Tin/Can,185.0,185.0,"[{""value"": ""₹185.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000078-bira-91-gold-wheat-strong-tin-3299,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
BIRA 91 IPA PINT,Bira 91,,IPA (from product name),,,,Pint (small bottle),200.0,200.0,"[{""value"": ""₹200.00"", ""source"": ""Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category"", ""source_url"": ""https://www.madhuloka.com/shop/category/beer-3"", ""confidence"": ""Medium""}]",,,,https://www.madhuloka.com/shop/m000081-bira-91-ipa-pint-3300,Madhuloka (Bangalore/Karnataka liquor retailer) — Beer category,Medium,Seen only on category listing page; generic placeholder image (omitted); detail page not fetched.
